image_id,sequence_id,sensor,scene_type,split,question_type,variant,template_id,question,question_paraphrased,answer,answer_type,answer_space,image_path,depth_path,source,evidence
40958767/2114.676,40958767,lidar,unknown,val,nearest_object,,2,What sits closest to the cabinet?,,sink,object,,ARKitScenes/3dod/Training/40958767/40958767_frames/lowres_wide/40958767_2114.676.png,ARKitScenes/3dod/Training/40958767/40958767_frames/lowres_depth/40958767_2114.676.png,rule,"{""anchor_concept"": ""cabinet"", ""anchor_object_index"": 14, ""answer_concept"": ""sink"", ""answer_object_index"": 22, ""nearest_distance_m"": 0.361, ""second_nearest_distance_m"": 2.01}"
40958767/2114.676,40958767,lidar,unknown,val,nearest_object,,0,What is the closest object to the sink?,,cabinet,object,,ARKitScenes/3dod/Training/40958767/40958767_frames/lowres_wide/40958767_2114.676.png,ARKitScenes/3dod/Training/40958767/40958767_frames/lowres_depth/40958767_2114.676.png,rule,"{""anchor_concept"": ""sink"", ""anchor_object_index"": 22, ""answer_concept"": ""cabinet"", ""answer_object_index"": 14, ""nearest_distance_m"": 0.361, ""second_nearest_distance_m"": 2.055}"
41048071/4469.317,41048071,lidar,unknown,train,nearest_object,,2,What sits closest to the cabinet?,,chair,object,,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_wide/41048071_4469.317.png,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_depth/41048071_4469.317.png,rule,"{""anchor_concept"": ""cabinet"", ""anchor_object_index"": 3, ""answer_concept"": ""chair"", ""answer_object_index"": 6, ""nearest_distance_m"": 1.679, ""second_nearest_distance_m"": 2.378}"
41048071/4469.317,41048071,lidar,unknown,train,nearest_object,,4,What is right next to the table?,,chair,object,,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_wide/41048071_4469.317.png,ARKitScenes/3dod/Training/41048071/41048071_frames/lowres_depth/41048071_4469.317.png,rule,"{""anchor_concept"": ""table"", ""anchor_object_index"": 5, ""answer_concept"": ""chair"", ""answer_object_index"": 6, ""nearest_distance_m"": 1.823, ""second_nearest_distance_m"": 2.378}"
41048225/7264.454,41048225,lidar,unknown,train,nearest_object,,0,What is the closest object to the table?,,chair,object,,ARKitScenes/3dod/Training/41048225/41048225_frames/lowres_wide/41048225_7264.454.png,ARKitScenes/3dod/Training/41048225/41048225_frames/lowres_depth/41048225_7264.454.png,rule,"{""anchor_concept"": ""table"", ""anchor_object_index"": 0, ""answer_concept"": ""chair"", ""answer_object_index"": 4, ""nearest_distance_m"": 0.382, ""second_nearest_distance_m"": 0.505}"
41048225/7359.431,41048225,lidar,unknown,train,nearest_object,,0,What is the closest object to the dishwasher?,,cabinet,object,,ARKitScenes/3dod/Training/41048225/41048225_frames/lowres_wide/41048225_7359.431.png,ARKitScenes/3dod/Training/41048225/41048225_frames/lowres_depth/41048225_7359.431.png,rule,"{""anchor_concept"": ""dishwasher"", ""anchor_object_index"": 11, ""answer_concept"": ""cabinet"", ""answer_object_index"": 12, ""nearest_distance_m"": 0.619, ""second_nearest_distance_m"": 0.851}"
41048225/7359.431,41048225,lidar,unknown,train,nearest_object,,0,What is the closest object to the oven?,,stove,object,,ARKitScenes/3dod/Training/41048225/41048225_frames/lowres_wide/41048225_7359.431.png,ARKitScenes/3dod/Training/41048225/41048225_frames/lowres_depth/41048225_7359.431.png,rule,"{""anchor_concept"": ""oven"", ""anchor_object_index"": 13, ""answer_concept"": ""stove"", ""answer_object_index"": 14, ""nearest_distance_m"": 0.006, ""second_nearest_distance_m"": 0.242}"
41048225/7359.431,41048225,lidar,unknown,train,nearest_object,,0,What is the closest object to the stove?,,oven,object,,ARKitScenes/3dod/Training/41048225/41048225_frames/lowres_wide/41048225_7359.431.png,ARKitScenes/3dod/Training/41048225/41048225_frames/lowres_depth/41048225_7359.431.png,rule,"{""anchor_concept"": ""stove"", ""anchor_object_index"": 14, ""answer_concept"": ""oven"", ""answer_object_index"": 13, ""nearest_distance_m"": 0.006, ""second_nearest_distance_m"": 0.238}"
41048225/7375.242,41048225,lidar,unknown,train,nearest_object,,1,Which object is nearest to the stove?,,oven,object,,ARKitScenes/3dod/Training/41048225/41048225_frames/lowres_wide/41048225_7375.242.png,ARKitScenes/3dod/Training/41048225/41048225_frames/lowres_depth/41048225_7375.242.png,rule,"{""anchor_concept"": ""stove"", ""anchor_object_index"": 14, ""answer_concept"": ""oven"", ""answer_object_index"": 13, ""nearest_distance_m"": 0.326, ""second_nearest_distance_m"": 0.409}"
41098000/9228.196,41098000,lidar,unknown,train,nearest_object,,1,Which object is nearest to the cabinet?,,sink,object,,ARKitScenes/3dod/Training/41098000/41098000_frames/lowres_wide/41098000_9228.196.png,ARKitScenes/3dod/Training/41098000/41098000_frames/lowres_depth/41098000_9228.196.png,rule,"{""anchor_concept"": ""cabinet"", ""anchor_object_index"": 4, ""answer_concept"": ""sink"", ""answer_object_index"": 13, ""nearest_distance_m"": 0.327, ""second_nearest_distance_m"": 1.26}"
41098000/9228.196,41098000,lidar,unknown,train,nearest_object,,3,Which item is positioned nearest to the sink?,,cabinet,object,,ARKitScenes/3dod/Training/41098000/41098000_frames/lowres_wide/41098000_9228.196.png,ARKitScenes/3dod/Training/41098000/41098000_frames/lowres_depth/41098000_9228.196.png,rule,"{""anchor_concept"": ""sink"", ""anchor_object_index"": 13, ""answer_concept"": ""cabinet"", ""answer_object_index"": 4, ""nearest_distance_m"": 0.327, ""second_nearest_distance_m"": 1.472}"
